['ResNet-train.py', '--network', 'wide_resnet', '--classifier', 'full', '--tensorization', '8', '8', '8', '8', '8', '--ranks', '[[8, 2, 2, 2, 2, 1], [2, 8, 1, 1, 1, 3], [2, 1, 8, 1, 1, 2], [2, 1, 1, 8, 1, 1], [2, 1, 1, 1, 8, 2], [1, 3, 2, 1, 2, 10]]', '--seed', '3', '--device', 'cuda:0']
Initializing dataloader
Files already downloaded and verified
Files already downloaded and verified
Dataloader has initialized
Initializing model
Model initialized
Testing model
Tests passed
Epoch: 0, Train loss: 1.4809923587799072, Validation loss: 1.6094507425308227, Validation accuracy: 0.4687
Epoch: 1, Train loss: 0.9644788753128052, Validation loss: 1.0536817600250243, Validation accuracy: 0.652
Epoch: 2, Train loss: 0.7573180379104614, Validation loss: 0.7778291420936585, Validation accuracy: 0.7439
Epoch: 3, Train loss: 0.632527107334137, Validation loss: 0.6727096622467041, Validation accuracy: 0.7889
Epoch: 4, Train loss: 0.5485457576751709, Validation loss: 0.5584610434532166, Validation accuracy: 0.8129
Epoch: 5, Train loss: 0.49118511281967164, Validation loss: 0.5880081958770752, Validation accuracy: 0.8087
Epoch: 6, Train loss: 0.4500804339027405, Validation loss: 0.5653466349601746, Validation accuracy: 0.8138
Epoch: 7, Train loss: 0.41056081106185915, Validation loss: 0.489241704750061, Validation accuracy: 0.8327
Epoch: 8, Train loss: 0.3847940217971802, Validation loss: 0.5574079465866089, Validation accuracy: 0.8261
Epoch: 9, Train loss: 0.3598490228843689, Validation loss: 0.7324703495979309, Validation accuracy: 0.7612
Epoch: 10, Train loss: 0.3470619421577454, Validation loss: 0.4648983371734619, Validation accuracy: 0.8559
Epoch: 11, Train loss: 0.31563661012649535, Validation loss: 0.6623219290733338, Validation accuracy: 0.7918
Epoch: 12, Train loss: 0.3066336750793457, Validation loss: 0.5286700609207153, Validation accuracy: 0.8417
Epoch: 13, Train loss: 0.29088911966323855, Validation loss: 0.6140866325378418, Validation accuracy: 0.8253
Epoch: 14, Train loss: 0.2865145814037323, Validation loss: 0.5475457849502563, Validation accuracy: 0.8405
Epoch: 15, Train loss: 0.2739153241252899, Validation loss: 0.5679271720886231, Validation accuracy: 0.8617
Epoch: 16, Train loss: 0.26770198632240294, Validation loss: 0.4996307881355286, Validation accuracy: 0.8448
Epoch: 17, Train loss: 0.2589339509677887, Validation loss: 0.3897992438316345, Validation accuracy: 0.8758
Epoch: 18, Train loss: 0.24942048296928407, Validation loss: 0.5123109690666199, Validation accuracy: 0.8567
Epoch: 19, Train loss: 0.24438138303279877, Validation loss: 0.5077608130455017, Validation accuracy: 0.8527
Epoch: 20, Train loss: 0.23373967278480529, Validation loss: 0.45332120537757875, Validation accuracy: 0.8655
Epoch: 21, Train loss: 0.2299776476764679, Validation loss: 0.5247818054199219, Validation accuracy: 0.8559
Epoch: 22, Train loss: 0.2190856279563904, Validation loss: 0.4030694613456726, Validation accuracy: 0.8773
Epoch: 23, Train loss: 0.2190827525472641, Validation loss: 0.505127631855011, Validation accuracy: 0.8482
Epoch: 24, Train loss: 0.21780464589595794, Validation loss: 0.5450494615077972, Validation accuracy: 0.8442
Epoch: 25, Train loss: 0.2108963774585724, Validation loss: 0.5236693473815918, Validation accuracy: 0.8499
Epoch: 26, Train loss: 0.21641897194862367, Validation loss: 0.43691427764892576, Validation accuracy: 0.8804
Epoch: 27, Train loss: 0.21370272458076478, Validation loss: 0.43328646111488345, Validation accuracy: 0.8706
Epoch: 28, Train loss: 0.20245287887096405, Validation loss: 0.3684993461608887, Validation accuracy: 0.8949
Epoch: 29, Train loss: 0.19728552423477172, Validation loss: 0.5134970685958863, Validation accuracy: 0.8673
Epoch: 30, Train loss: 0.20321809560775758, Validation loss: 0.5122962162017822, Validation accuracy: 0.8771
